	Gene.name	Gene.description	Gene.type	logFC	logCPM	LR	PValue	FDR	DEG
ENSG00000116741	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	protein_coding	0.643042727023058	3.58416174651752	9.57946435972343	0.00196765803902513	0.0497284126016626	Upregulated
NA.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.14	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.17	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.18	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.19	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.21	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.22	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.23	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.24	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.26	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.27	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.28	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.29	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.30	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.31	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.32	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.33	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.34	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.35	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.36	NA	NA	NA	NA	NA	NA	NA	NA	NA
