logFC	logCPM	LR	PValue	FDR	gene	beta_DG	beta_NG	delta_beta
0.828204700529297	7.81548619115064	16.2522248854011	5.54444478498667e-05	0.127799452293943	ZNF423	0.281618393809791	0.133576317197437	0.148042076612353
0.474178689889666	8.9208138132213	13.6586071032574	0.000219234067964957	0.252667263329613	IRX4	0.0549023153723153	0.0386837098860423	0.0162186054862729
0.551327653929999	7.93957547022705	12.0002770612515	0.000531926419841316	0.282011806892414	ATF6	0.14099794263659	0.09138356528353	0.0496143773530602
0.816735593720401	7.52960604646448	11.5940201705249	0.000661642256221841	0.282011806892414	LINC01354	0.225496782227531	0.111684456342402	0.113812325885129
0.491210966205363	8.78001843825752	11.4178495646423	0.000727418417876997	0.282011806892414	UBE2E4P	0.383076078153184	0.241115402750887	0.141960675402297
0.664517601199344	8.02170953834837	11.4008954476401	0.000734087132908669	0.282011806892414	UBE2G2	0.409871522141055	0.230630825648938	0.179240696492117
-0.491865873745751	8.55860913763226	10.3662761924054	0.00128338151336274	0.384124442676906	CSTF2	0.482547356927	0.525781523772797	-0.0432341668457973
-0.554322005044574	16.1825871056874	10.0895475105486	0.00149112717038484	0.384124442676906	LOC101928626	0.193195818568721	0.183712566224016	0.00948325234470468
0.506430816178651	7.62741013553757	9.79065476308232	0.00175400995475432	0.384124442676906	LINC00261	0.178822743412179	0.111033415009675	0.0677893284025038
0.575318577155085	7.89339891962466	9.70891363220778	0.00183376383990478	0.384124442676906	GABRA1	0.170214786027705	0.0965962128546425	0.0736185731730625
0.62660238106828	8.14170853252873	9.47584995646561	0.00208194404041933	0.384124442676906	STXBP6	0.204090745575869	0.127477019281169	0.0766137262946998
0.895816916343131	7.49257107753706	9.47263208898487	0.00208559915306903	0.384124442676906	LOC285804	0.266988714616833	0.121709238614433	0.1452794760024
0.400851829489273	9.68628839245981	9.34529853793988	0.0022355823299479	0.384124442676906	FAM131B	0.144543887505247	0.101949264871118	0.0425946226341288
0.794041592160672	7.13743642281622	9.17501241369902	0.00245341703287986	0.384124442676906	RFNG	0.264949213334507	0.12820101947833	0.136748193856177
0.623814294955503	8.13964061693351	9.14079457214075	0.00249972522349397	0.384124442676906	ZFP37	0.167484453509088	0.114032338556125	0.0534521149529632
0.552470900070966	6.83957191428056	8.90877836435355	0.00283803057838162	0.408853780198102	PPP1R42	0.231999372326383	0.161698822868586	0.0703005494577961
0.565418067165676	6.87163096316607	8.76273682268221	0.00307447344909001	0.408938647886914	ACOT12	0.122137704604265	0.0770327289569245	0.0451049756473402
0.506434768195507	8.02858953154508	8.64334831998329	0.00328257589603224	0.408938647886914	ZNF133	0.166833790689555	0.104931604049571	0.0619021866399835
0.373772056602202	8.66211570372837	8.49495711603825	0.00356132170258939	0.408938647886914	CCDC12	0.0987336609752776	0.0832138898353547	0.0155197711399229
0.423486515062602	8.28442619107177	8.42126178929466	0.00370858334562662	0.408938647886914	C2CD4D-AS1	0.244640524606755	0.163054616526649	0.0815859080801058
0.556559806638739	7.35794035271132	8.41289539458835	0.00372568833215843	0.408938647886914	VGLL2	0.0577342151194661	0.03830098987355	0.0194332252459161
0.41811961189008	8.58308421793493	8.20456153409723	0.00417852053759843	0.429109761076072	H3C1	0.252227588134923	0.177474046066478	0.074753542068445
0.395713333198525	7.95538669881762	8.13286194488723	0.00434700766560613	0.429109761076072	ZNF683	0.75194881515345	0.550317231676707	0.201631583476743
-0.630586100277882	5.86791681306871	8.06882735529224	0.00450332511376843	0.429109761076072	FLAD1	0.0964044824256411	0.132284057238733	-0.0358795748130917
0.62747089180037	6.8717129408014	7.80331547752469	0.00521504589245734	0.429109761076072	ANKMY1	0.352886034815902	0.220550949337725	0.132335085478177
0.465049160300164	8.20880872546475	7.78506906656246	0.00526797768238141	0.429109761076072	THORLNC	0.185461889564243	0.110460054289313	0.0750018352749303
0.547116313035467	6.92539787968447	7.57395236803665	0.00592177884293039	0.429109761076072	LASP1	0.0863562703570683	0.0562770341283883	0.03007923622868
0.441890623791414	7.84124709883832	7.55355642339595	0.00598917564050981	0.429109761076072	CPT1C	0.0886525060541345	0.0597328643212912	0.0289196417328433
