lipid	class	logFC	mean_DG	mean_NG	p_value	method	FDR	sig	direction
PS_(33:1)	PS	-0.64780032458199	-5.10182117307662	-4.45402084849463	0.187243293967891	Mann-Whitney	0.601045716036	FALSE	Down in DG
PC-P_(32:1)	PC-P	0.237999972955955	0.580844292568561	0.342844319612606	0.450553949911691	Mann-Whitney	0.619511681128575	FALSE	Up in DG
Cer_(34:1)	Cer	-0.0926839638870272	4.12986019839655	4.22254416228358	0.466461398977925	Mann-Whitney	0.634803219184464	FALSE	Down in DG
Cer_(39:1)	Cer	-0.0582666826510496	-0.429284021936459	-0.371017339285409	0.485437755846943	t-test	0.634803219184464	FALSE	Down in DG
TG_(51:2)	TG	-0.133034109221605	-0.349181060826335	-0.216146951604731	0.499191607905819	Mann-Whitney	0.640854091230444	FALSE	Down in DG
DG_(34:2)	DG	0.0795288380748218	4.26934686975029	4.18981803167547	0.427278906171976	Mann-Whitney	0.640918359257964	FALSE	Up in DG
Cer_(38:1)	Cer	-0.0306544060138214	2.05620616515532	2.08686057116914	0.610594970831833	t-test	0.651770833764864	FALSE	Down in DG
Cer_(40:1)	Cer	-0.0375159754804364	2.7249497779749	2.76246575345533	0.5877950347143	t-test	0.651770833764864	FALSE	Down in DG
Cer_(36:1)	Cer	-0.0691637896068724	2.12181087541758	2.19097466502445	0.613431372955166	Mann-Whitney	0.651770833764864	FALSE	Down in DG
TG_(55:2)	TG	-0.109813458678918	-4.11935600745418	-4.00954254877526	0.524517398736725	Mann-Whitney	0.664388705066518	FALSE	Down in DG
PE-P_(37:1)	PE-P	-0.526614867352042	-2.56064544617847	-2.03403057882643	0.604246822536124	Mann-Whitney	0.664671504789736	FALSE	Down in DG
PC_(38:4)	PC	0.126405072058638	1.08640689109986	0.960001819041217	0.323316922500738	t-test	0.666841152657772	FALSE	Up in DG
TG_(50:1)	TG	0.0437085998982265	1.3909792053692	1.34727060547097	0.541759624857006	Mann-Whitney	0.677199531071258	FALSE	Up in DG
DG_(35:2)	DG	0.060809962846173	-0.134314141080299	-0.195124103926472	0.482675770300766	Mann-Whitney	0.6814246168952	FALSE	Up in DG
TG_(57:4)	TG	-0.116005756515044	-7.3431822602418	-7.22717650372676	0.568142361205979	Mann-Whitney	0.683209168538835	FALSE	Down in DG
TG_(59:4)	TG	-0.197480477560312	-9.27110343671352	-9.0736229591532	0.568142361205979	Mann-Whitney	0.683209168538835	FALSE	Down in DG
TG_(59:3)	TG	-0.132042361742139	-8.18568898220052	-8.05364662045838	0.559280146512818	Mann-Whitney	0.683209168538835	FALSE	Down in DG
DG_(36:2)	DG	0.052649076098914	3.52676653060308	3.47411745450416	0.559280146512818	Mann-Whitney	0.691327190199423	FALSE	Up in DG
DG_(32:0)	DG	0.0601547741145865	2.96238317772946	2.90222840361487	0.576105991832853	t-test	0.691327190199423	FALSE	Up in DG
DG_(33:1)	DG	0.059158966707031	0.159343225500967	0.100184258793936	0.541759624857006	Mann-Whitney	0.691327190199423	FALSE	Up in DG
PE-P_(34:1)	PE-P	0.0232949433272887	2.77060792808143	2.74731298475414	0.694670676546808	t-test	0.694670676546808	FALSE	Up in DG
TG_(52:1)	TG	-0.0636160962428532	0.869575232502299	0.933191328745152	0.603487843170249	t-test	0.700042050499168	FALSE	Down in DG
TG_(59:5)	TG	-0.217579916830463	-11.3999612743231	-11.1823813574926	0.600809517176965	t-test	0.700042050499168	FALSE	Down in DG
TG_(54:3)	TG	-0.00636519314293693	2.48726713866966	2.4936323318126	0.604246822536124	Mann-Whitney	0.700042050499168	FALSE	Down in DG
SM_(35:1)	SM	-0.0758551808405092	-0.851346813440374	-0.775491632599865	0.402379510820314	t-test	0.70416414393555	FALSE	Down in DG
